Date,Open,High,Low,Close,Date_add,Symbol,week_of_year,week_day,avg_daily_price,Year,Month,Week
2024-08-28 00:00:00-04:00,41.2270043585235,41.52903340433559,41.17981299520353,41.481842041015625,2024-08-28,HSBC,35,Wednesday,41.35442319976956,2024,8,35
2024-08-29 00:00:00-04:00,41.547916185623066,41.74612209816273,41.3497102730834,41.63286209106445,2024-08-29,HSBC,35,Thursday,41.56915266198341,2024,8,35
2024-08-30 00:00:00-04:00,41.62341603956853,42.00095414623967,41.59510194173277,41.963199615478516,2024-08-30,HSBC,35,Friday,41.79566793575487,2024,8,35
2024-09-03 00:00:00-04:00,41.349710671926125,41.39690204196637,40.87778977058218,40.98160934448242,2024-09-03,HSBC,36,Tuesday,41.15150295723927,2024,9,36
2024-09-04 00:00:00-04:00,41.2175652630712,41.4252115889814,41.06655073526479,41.104305267333984,2024-09-04,HSBC,36,Wednesday,41.20340821366285,2024,9,36
2024-09-05 00:00:00-04:00,41.849942613624734,41.89713398021265,41.29307584675821,41.47240447998047,2024-09-05,HSBC,36,Thursday,41.628139230144015,2024,9,36
2024-09-06 00:00:00-04:00,41.19869677720798,41.39690269478511,40.424746774836564,40.46249771118164,2024-09-06,HSBC,36,Friday,40.870710989502825,2024,9,36
2024-09-09 00:00:00-04:00,41.20813274314436,41.46297046057726,41.13262727157391,41.28364181518555,2024-09-09,HSBC,37,Monday,41.27184307262027,2024,9,37
2024-09-10 00:00:00-04:00,40.91553704931043,40.98160568155572,40.169904828189196,40.63238525390625,2024-09-10,HSBC,37,Tuesday,40.6748582032404,2024,9,37
2024-09-11 00:00:00-04:00,40.61350940410623,40.67014120535059,40.000014426076525,40.60407257080078,2024-09-11,HSBC,37,Wednesday,40.47193440158353,2024,9,37
2024-09-12 00:00:00-04:00,40.773959430157674,40.95328804498177,40.4624899617857,40.89665985107422,2024-09-12,HSBC,37,Thursday,40.771599321999844,2024,9,37
2024-09-13 00:00:00-04:00,41.08542778363985,41.34970590625375,41.047676852241004,41.18925094604492,2024-09-13,HSBC,37,Friday,41.168015372044884,2024,9,37
2024-09-16 00:00:00-04:00,40.95329005267734,41.255319103224664,40.943853220053484,41.22700500488281,2024-09-16,HSBC,38,Monday,41.09486684520957,2024,9,38
2024-09-17 00:00:00-04:00,41.63285721664396,41.66117131498581,41.17981364082297,41.22700500488281,2024-09-17,HSBC,38,Tuesday,41.42521179433389,2024,9,38
2024-09-18 00:00:00-04:00,41.46296524781476,41.80274882834072,41.26475935933138,41.444087982177734,2024-09-18,HSBC,38,Wednesday,41.493640354416144,2024,9,38
2024-09-19 00:00:00-04:00,42.18972469675096,42.31242512584385,41.86881837483364,42.199161529541016,2024-09-19,HSBC,38,Thursday,42.14253243174237,2024,9,38
2024-09-20 00:00:00-04:00,41.85937925659648,41.86881969015347,41.5856678914418,41.68948745727539,2024-09-20,HSBC,38,Friday,41.75083857386679,2024,9,38
2024-09-23 00:00:00-04:00,42.43512108347335,42.58613560830715,42.33129792256192,42.538944244384766,2024-09-23,HSBC,39,Monday,42.4728747146818,2024,9,39
2024-09-24 00:00:00-04:00,42.897606078115466,42.92592017702635,42.557822489303405,42.68052291870117,2024-09-24,HSBC,39,Tuesday,42.7654679157866,2024,9,39
2024-09-25 00:00:00-04:00,42.60501808152694,42.64277261746765,42.14253761790075,42.16141128540039,2024-09-25,HSBC,39,Wednesday,42.38793490057393,2024,9,39
2024-09-26 00:00:00-04:00,43.20906761883989,43.48278254899871,43.02973900966858,43.33176803588867,2024-09-26,HSBC,39,Thursday,43.263339303348964,2024,9,39
2024-09-27 00:00:00-04:00,43.275142863156645,43.38840646566777,43.05805969238281,43.05805969238281,2024-09-27,HSBC,39,Friday,43.19491717839751,2024,9,39
2024-09-30 00:00:00-04:00,42.76547002067351,42.77490685375287,42.40680915566004,42.65220642089844,2024-09-30,HSBC,40,Monday,42.64984811274621,2024,9,40
2024-10-01 00:00:00-04:00,42.38793223531796,42.40680950210135,41.69892819984122,42.08590316772461,2024-10-01,HSBC,40,Tuesday,42.144893276246286,2024,10,40
2024-10-02 00:00:00-04:00,42.737148453504695,42.81265751318911,42.46343711332401,42.52006530761719,2024-10-02,HSBC,40,Wednesday,42.63332709690875,2024,10,40
2024-10-03 00:00:00-04:00,42.51062779330856,42.71827050316881,42.26522695374179,42.642765045166016,2024-10-03,HSBC,40,Thursday,42.53422257384629,2024,10,40
2024-10-04 00:00:00-04:00,43.03917937645986,43.29401706335172,42.944796648190426,43.28458023071289,2024-10-04,HSBC,40,Friday,43.140643329678724,2024,10,40
2024-10-07 00:00:00-04:00,43.18076038103874,43.237392182625904,42.90704540740665,43.10525131225586,2024-10-07,HSBC,41,Monday,43.10761232083179,2024,10,41
2024-10-08 00:00:00-04:00,41.79331297567511,41.831067511086914,41.378023887557205,41.453529357910156,2024-10-08,HSBC,41,Tuesday,41.61398343305734,2024,10,41
2024-10-09 00:00:00-04:00,41.500721991781255,41.727241990562405,41.425212925207234,41.68948745727539,2024-10-09,HSBC,41,Wednesday,41.58566609120657,2024,10,41
2024-10-10 00:00:00-04:00,41.84050322222938,41.84050322222938,41.55734783907399,41.79330825805664,2024-10-10,HSBC,41,Thursday,41.757915635397346,2024,10,41
2024-10-11 00:00:00-04:00,41.6139777595293,41.89712952944783,41.58566366267848,41.859375,2024-10-11,HSBC,41,Friday,41.7390364879139,2024,10,41
2024-10-14 00:00:00-04:00,41.57622416662597,42.000953631306245,41.47240100854077,41.86881637573242,2024-10-14,HSBC,42,Monday,41.729598795551354,2024,10,42
2024-10-15 00:00:00-04:00,41.63285820458173,41.66117230359546,41.349706413033275,41.36858367919922,2024-10-15,HSBC,42,Tuesday,41.50308015010242,2024,10,42
2024-10-16 00:00:00-04:00,41.65173841681908,41.78387568885654,41.5573520793133,41.62342071533203,2024-10-16,HSBC,42,Wednesday,41.65409672508024,2024,10,42
2024-10-17 00:00:00-04:00,41.74611667889452,42.00095436213695,41.64229351900276,41.87825393676758,2024-10-17,HSBC,42,Thursday,41.816904624200454,2024,10,42
2024-10-18 00:00:00-04:00,42.133093839385516,42.246353837746966,41.868819309718646,42.20860290527344,2024-10-18,HSBC,42,Friday,42.11421747303114,2024,10,42
2024-10-21 00:00:00-04:00,41.90657133661448,42.00095406285979,41.63285638984479,41.69892501831055,2024-10-21,HSBC,43,Monday,41.809826701907404,2024,10,43
2024-10-22 00:00:00-04:00,41.77443226110116,42.15197038312671,41.689486363668934,42.11421585083008,2024-10-22,HSBC,43,Tuesday,41.932526214681715,2024,10,43
2024-10-23 00:00:00-04:00,41.75555681433986,41.80274817746251,41.500719132913275,41.69892501831055,2024-10-23,HSBC,43,Wednesday,41.68948728575655,2024,10,43
2024-10-24 00:00:00-04:00,42.151968195194016,42.17084546036249,41.755556428066605,42.000953674316406,2024-10-24,HSBC,43,Thursday,42.019830939484876,2024,10,43
2024-10-25 00:00:00-04:00,42.350174035389955,42.38792856568824,41.8405022782438,41.86881637573242,2024-10-25,HSBC,43,Friday,42.111855313763606,2024,10,43
2024-10-28 00:00:00-04:00,42.26522980045807,42.77490517806824,42.17084707148003,42.63332748413086,2024-10-28,HSBC,44,Monday,42.4610773835343,2024,10,44
